2021-12-11 1...,0.00,200.00,1,5.00,0.00,9.95,3600,"3,590.05"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,9.96,3600,"3,590.04"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,9.98,3600,"3,590.02"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.00,3600,"3,590.00"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.01,3600,"3,589.99"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.02,3600,"3,589.98"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.04,3600,"3,589.96"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.05,3600,"3,589.95"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.07,3600,"3,589.93"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.09,3600,"3,589.91"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.10,3600,"3,589.90"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.12,3600,"3,589.88"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.13,3600,"3,589.87"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.15,3600,"3,589.85"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.16,3600,"3,589.84"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.17,3600,"3,589.83"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.19,3600,"3,589.81"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.20,3600,"3,589.80"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.21,3600,"3,589.79"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.22,3600,"3,589.78"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.23,3600,"3,589.77"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.24,3600,"3,589.76"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.25,3600,"3,589.75"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.26,3600,"3,589.74"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.28,3600,"3,589.72"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.28,3600,"3,589.72"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.29,3600,"3,589.71"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.30,3600,"3,589.70"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.31,3600,"3,589.69"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.32,3600,"3,589.68"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.33,3600,"3,589.67"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.34,3600,"3,589.66"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.35,3600,"3,589.65"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.36,3600,"3,589.64"
